hub,source_page,anchor,verdict,recommendation,repoint_to
/san-francisco,/acid-burn-injury-lawyer/settlement-calculator,office,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/broken-bones-lawyer/settlement-calculator,"nearest office location,",WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/bus-accident-lawyers/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/california-bicycle-accident-lawyers/settlement-calculator,"office,",WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/california-roof-crush-injury-lawyers/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/collapsed-lung-injury-lawyers/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/delivery-driver-accident-lawyer/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/facet-joint-injury-lawyers-helping-you-recover/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/helicopter-accident-attorneys/settlement-calculator,nearest office,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/herniated-disc-injury-lawyers/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/hit-run-attorney/settlement-calculator,nearest office,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/paralysis-injury-lawyers/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/plane-crash-lawyers/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/seatback-failure-attorneys/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/triplegia-injury-lawyers/settlement-calculator,office location,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-francisco,/truck-accident-settlement-calculator,nearest office,WEAK-TEMPLATE,"Calculator-template office link; anchor says nothing. Use ""San Francisco personal injury office"" (one template fix)",
/san-jose,/broken-hip-injury-attorney,San Jose injury attorney,OK,Descriptive anchor pointing at the right page,
/san-jose,/motorcycle-accident-lawyers,injury attorneys,OK,Descriptive anchor pointing at the right page,
/san-jose,/california-bicycle-accident-lawyers,San Jose,REPOINT,"Source is a bicycle practice page and /san-jose/bicycle-accident-lawyers exists — repoint there with anchor ""San Jose bicycle accident lawyers""",/san-jose/bicycle-accident-lawyers
/san-jose,/motorcycle-accident-lawyers,San Jose,REPOINT,"Source is a motorcycle practice page and /san-jose/motorcycle-accident-lawyers exists — repoint there with anchor ""San Jose motorcycle accident lawyers""",/san-jose/motorcycle-accident-lawyers
/san-jose,/,San Jose,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""San Jose personal injury lawyers"" or ""San Jose car accident lawyers""",
/san-jose,/hit-run-attorney,San Jose,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""San Jose personal injury lawyers"" or ""San Jose car accident lawyers""",
/san-jose,/personal-injury-attorneys,San Jose,WEAK-ANCHOR,"Bare city anchor; hub is right target but use ""San Jose personal injury lawyers"" or ""San Jose car accident lawyers""",
